Label,URL,brand,name,price,rating,description,skin_type,skincare_concerns,ingredients,likes,normal,oily,combination,dry,sensitive,dryness,wrinkles,oiliness,dullness,dark_spots,pores,redness,acne,uneven_skin_tone,sallowness,class_specified
Cleanser,https://www.sephora.com/product/the-ordinary-deciem-glycolic-acid-7-toning-solution-P427406?icid2=products%20grid:p427406,THE ORDINARY,Glycolic Acid 7% Toning Solution,8.7,4.5,"An exfoliating toning solution with seven percent glycolic acid, amino acids, aloe vera, ginseng, and tasmanian pepperberry.","[1, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","water, glycolic acid, rosa damascena flower water, centaurea cyanus flower water, aloe barbadensis leaf water, propanediol, glycerin, triethanolamine, aminomethyl propanol, panax ginseng root extract, tasmannia lanceolata fruit/leaf extract, aspartic acid, alanine, glycine, serine, valine, isoleucine, proline, threonine, histidine, phenylalanine, glutamic acid, arginine, pca, sodium pca, sodium lactate, fructose, glucose, sucrose, urea, hexyl nicotinate, dextrin, citric acid, polysorbate 20, gellan gum, trisodium ethylenediamine disuccinate, sodium chloride, hexylene glycol, potassium sorbate, sodium benzoate, 1,2-hexanediol, caprylyl glycol.",172100,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,dullness
Cleanser,https://www.sephora.com/product/renewing-cleanser-P440061?icid2=products%20grid:p440061,PROACTIV,Renewing Cleanser,25.0,4.8,"An acne-fighting cleanser that helps to wash away excess oil, dirt, and other impurities.","[1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","water, magnesium aluminum silicate, glyceryl stearate, peg-100 stearate, sorbitol, dimethyl isosorbide, disodium peg-12 dimethicone sulfosuccinate, tridecyl stearate, neopentyl glycol dicaprylate/dicaprate, paraffin, cetyl esters, anthemis nobilis flower extract, tridecyl trimellitate, trisodium sulfosuccinate, peg-12 dimethicone, sodium sulfate, sodium hyaluronate, propylene glycol, sodium pca, xanthan gum, phenoxyethanol, imidazolidinyl urea, methylparaben, propylparaben, fragrance.",872,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,acne
Cleanser,https://www.sephora.com/product/ole-henriksen-truth-juice-daily-cleanser-P453227?icid2=products%20grid:p453227,OLEHENRIKSEN,Truth Juice™ Daily Cleanser,28.0,4.6,"A juice cleanse you can commit to: Truth Juice™ Daily Cleanser gently removes dirt, oil, and makeup (yes, even your favorite long wear mascara) and reveals refreshed, energized skin—plus, its luxurious gel cream texture and bright, addictive scent invigorate the senses as it purifies.","[1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","aqua/water/eau, sodium cocoyl isethionate, sodium cocoamphoacetate, cocamidopropyl hydroxysultaine, sodium chloride, acrylates/beheneth-25 methacrylate copolymer, phenoxyethanol, citrus aurantium dulcis (orange) oil, glycol distearate, gluconolactone, propanediol, glycerin, 1,2-hexanediol, citrus aurantium dulcis (orange) peel oil, sodium benzoate, citrus aurantium dulcis (orange) fruit water, titanium dioxide (ci 77891), citrus sinensis (orange) fruit extract, triethyl citrate, caprylhydroxamic acid, citrus aurantium dulcis (orange) fruit extract, citrus limon (lemon) fruit extract, hippophae rhamnoides kernel extract, lycium barbarum fruit extract, rosa canina fruit extract, calcium gluconate, helianthus annuus (sunflower) seed oil, leuconostoc/radish root ferment filtrate, sodium hydroxide, yellow 6 (ci 15985), citric acid, potassium sorbate, xanthan gum, sodium citrate, limonene, linalool.",15200,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,dullness
Cleanser,https://www.sephora.com/product/revitalizing-toner-P440060?icid2=products%20grid:p440060,PROACTIV,Revitalizing Toner,25.0,4.8,An alcohol-free toner developed by dermatologists.,"[1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","water, glycolic acid, sodium hydroxide, polysorbate 20, hamamelis virginiana (witch hazel) extract, anthemis nobilis flower extract, rosa canina fruit extract, aloe barbadensis leaf juice, sodium pca, panthenol, glycerin, propylene glycol, allantoin, hydroxyethylcellulose, benzophenone-4, tetrasodium edta, imidazolidinyl urea, methylparaben, propylparaben, fragrance, blue 1, yellow 5.",633,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,dullness
Cleanser,https://www.sephora.com/product/glycolic-acid-toner-P443838?icid2=products%20grid:p443838,THE INKEY LIST,Glycolic Acid Exfoliating Toner,10.0,4.7,"A 10 percent glycolic acid exfoliating toner that helps to reduce the appearance of pores and fine lines for smoother, brighter skin.","[1, 1, 1, 1, 0]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0]","water, glycolic acid, propanediol, hamamelis virginiana (witch hazel) water, sodium hydroxide, butylene glycol, phenoxyethanol, alcohol, ppg-26-buteth-26, betaine, peg-40 hydrogenated castor oil, boerhavia diffusa root extract, ethylhexylglycerin, trisodium ethylenediamine disuccinate.",6400,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,dullness
Cleanser,https://www.sephora.com/product/purity-made-simple-micellar-cleansing-water-mini-P433159?icid2=products%20grid:p433159,PHILOSOPHY,Purity Made Simple Micellar Cleansing Water Mini,12.0,5.0,"A cleansing water that removes makeup, dirt, and impurities without the need to rinse.","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","water, poloxamer 184, phenoxyethanol, ppg-1-peg-9 lauryl glycol ether, sodium pca, disodium lauroamphodiacetate, sodium trideceth sulfate, chlorphenesin, tetrasodium edta, hexylene glycol, citric acid, sodium chloride, panthenol, isopropyl alcohol, bht, pantolactone.",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,
Cleanser,https://www.sephora.com/product/tarte-knockout-daily-exfoliating-cleanser-P454376?skuId=2315885&icid2=products%20grid:p454376,TARTE,knockout daily exfoliating cleanser,12.0,5.0,"A vegan AHA and BHA cleanser that helps dissolve dead skin, exfoliate, and refine pores while delivering an invigorating lather for skin that feels soft and smooth.","[1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]","water/aqua/eau, sodium c14-16 olefin sulfonate, cocamidopropyl hydroxysultaine, sodium cocoyl glutamate, glycerin, pyrus malus (apple) fruit extract, lactic acid, glycolic acid, sodium chloride, propanediol, decyl glucoside, acrylates crosspolymer-4, citric acid, phenoxyethanol, polyquaternium-10, eucalyptus globulus leaf oil, mentha piperita (peppermint) oil, caprylyl glycol, ethylhexylglycerin, hexylene glycol, salicylic acid, sodium hydroxide, limonene, tetrasodium glutamate diacetate, linalool, sodium acetate, sodium glycolate, sodium formate.",1600,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,pores
Cleanser,https://www.sephora.com/product/breakout-clearing-all-over-toner-P443362?icid2=products%20grid:p443362,DERMALOGICA,Breakout Clearing All Over Toner,19.0,4.7,"A paraben-free and sulfate-free, mist-all-over purifying toner that controls excess oils and helps eliminate breakouts on the face and body.","[1, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","water, hamamelis virginiana water, isoceteth-20, ethoxydiglycol, citrus aurantium dulcis peel oil, lavandula angustifolia oil, sodium hydroxide, melaleuca alternifolia leaf oil, camellia sinensis leaf extract, porphyra umbilicalis extract, glycyrrhiza glabra root extract, citrus aurantium amara peel oil, citrus limon fruit oil, cymbopogon schoenanthus oil, argania spinosa kernel extract, serenoa serrulata fruit extract, sesamum indicum seed extract, citral, hexylene glycol, geraniol, limonene, polysorbate 20, disodium edta, butylene glycol, linalool, ethylhexylglycerin, phenoxyethanol, beta-sitosterol, citronellol, coumarin.",2800,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,pores
Cleanser,https://www.sephora.com/product/the-deep-cleanse-P427536?icid2=products%20grid:p427536,TATCHA,The Deep Cleanse Exfoliating Cleanser,38.0,4.3,A daily gel cleanser with natural fruit exfoliant that thoroughly but gently lifts impurities and unclogs pores while leaving skin soft and hydrated.,"[1, 1, 1, 0, 1]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 0]","water, sodium cocoyl glutamate, propanediol, glycerin, acrylates copolymer, coco-betaine, saccharomyces/camellia sinensis leaf/cladosiphonokamuranus/rice ferment filtrate*, luffa cylindrica fruit/leaf/stem extract, luffa cylindrica fruit, sodium lauroyl hydrolyzed silk, rosa multiflora fruit extract, belamcanda chinensis root extract, potassium hydroxide, sodium chloride, polyglyceryl-10 dioleate, polyglyceryl-2 sesquicaprylate, butylene glycol, ethylhexylglycerin, tetrasodium edta, fragrance, alcohol, phenoxyethanol.",94300,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,pores
Cleanser,https://www.sephora.com/product/kale-spinach-green-tea-age-prevention-cleanser-P411387?icid2=products%20grid:p411387,YOUTH TO THE PEOPLE,Superfood Antioxidant Cleanser,36.0,4.3,"A daily green juice cleanse for your face with cold-pressed antioxidants to remove makeup and prevent build-up in pores, while keeping skin’s pH balanced.","[1, 1, 1, 1, 0]","[0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","water, sodium cocoyl glutamate, cocamidopropyl betaine, panthenol (vitamin b5),tocopheryl acetate (vitamin e), ascorbic acid (vitamin c), butylene glycol, brassica oleracea(kale) leaf extract, spinacia oleracea (spinach) leaf extract, camellia sinensis (green tea)leaf extract, chamomilla recutita (matricaria) flower extract, medicago sativa (alfalfa) extract,aloe barbadensis (aloe vera) leaf extract, natural fragrance, lecithin, hydroxypropylmethylcellulose, phenoxyethanol, potassium sorbate, sodium benzoate, chlorophyll.",79100,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,pores
