Label,URL,brand,name,price,rating,description,skin_type,skincare_concerns,ingredients,likes,normal,oily,combination,dry,sensitive,dryness,wrinkles,oiliness,dullness,dark_spots,pores,redness,acne,uneven_skin_tone,sallowness,class_specified
Eye cream,https://www.sephora.com/product/brighteyes-illuminating-anti-fatigue-eye-cream-P448208?icid2=products%20grid:p448208,GLAMGLOW,BRIGHTEYES™ Illuminating Anti-Fatigue Eye Cream,39.0,4.4,"An energizing eye cream that brightens dark circles and reduces visible signs of fatigue for glowing, well-rested eyes.","[1, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","water\aqua\eau, butyrospermum parkii (shea) butter, butylene glycol, dimethicone, glycerin, cetearyl alcohol, cetyl esters, isostearyl neopentanoate, cetyl alcohol, polybutene, sodium hyaluronate, caffeine, tocopheryl acetate, narcissus tazetta bulb extract, aminopropyl ascorbyl phosphate, linoleic acid, acetyl hexapeptide-8, artemia extract, hibiscus sabdariffa flower extract, trifluoroacetyl tripeptide-2, anthemis nobilis (chamomile) flower extract, laminaria digitata extract, cucumis melo (melon) fruit extract, cetearyl glucoside, cholesterol, persea gratissima (avocado) oil, pyrus malus (apple) fruit extract, lens esculenta (lentil) fruit extract, citrullus lanatus (watermelon) fruit extract, algae extract, lauryl pca, whey protein\lactis protein\proteine du petit-lait, yeast extract\faex\extrait de levure, sodium lactate, sorbitol, trehalose, zinc pca, glucose, acetyl glucosamine, neopentyl glycol diheptanoate, carbomer, sodium hydroxide, propylene glycol dicaprylate, polymethyl methacrylate, sodium pca, dextran, acrylates/c10-30 alkyl acrylate crosspolymer, polyethylene, decarboxy carnosine hcl, potassium sulfate, caprylyl glycol, 1,2-hexanediol, tetradecyl aminobutyroylvalylaminobutyric urea trifluoroacetate, methyl glucose sesquistearate, bht, disodium edta, phenoxyethanol, potassium sorbate, sodium benzoate, mica, titanium dioxide (ci 77891), iron oxides (ci 77491).",28100,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,dark circles
Eye cream,https://www.sephora.com/product/eye-dew-total-eye-cream-with-echinacea-greenenvy-P400250?icid2=products%20grid:p400250,FARMACY,Dew It All Total Eye Cream,38.0,3.9,A moisturizing eye cream that helps minimize signs of stress and fatigue while deliveringhydration to help soothe and nourish the eye area.,"[1, 1, 1, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 1]","water/aqua/eau, glycerin, coco-caprylate/caprate, jojoba esters, 1,2-hexanediol, copernicia cerifera (carnauba) wax, cetyl alcohol, caprylic/capric triglyceride, cetearyl alcohol, candelilla/jojoba/rice bran polyglyceryl-3 esters, glyceryl stearate, undecane, adansonia digitata seed oil, echinacea purpurea root extract, sodium stearoyl lactylate, tridecane, arachidyl alcohol, ribose, sodium stearoyl glutamate, butyrospermum parkii (shea) butter, microcrystalline cellulose, xanthan gum, behenyl alcohol, paeonia suffruticosa root extract, scutellaria baicalensis root extract, butylene glycol, cetearyl glucoside, arachidyl glucoside, cellulose gum, allantoin, hydrolyzed hyaluronic acid, gellan gum, propanediol, opuntia ficus-indica extract, sodium phytate, adenosine, melia azadirachta leaf extract, melia azadirachta flower extract, dictyopteris polypodioides extract, corallina officinalis extract, calendula officinalis flower extract, chamomilla recutita (matricaria) flower extract, curcuma longa (turmeric) root extract, coccinia indica fruit extract, glucose, aloe barbadensis flower extract, solanum melongena (eggplant) fruit extract, ocimum basilicum (basil) flower/leaf extract, rosa canina fruit extract, ocimum sanctum leaf extract, tocopherol, sodium benzoate, lactic acid, isopropyl alcohol, potassium sorbate, sodium chloride, sodium glycolate.",27500,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,wrinkles
Eye cream,https://www.sephora.com/product/zero-baggage-anti-dark-circle-eye-cream-P433975?icid2=products%20grid:p433975,NATURALLY SERIOUS,Zero Baggage Anti-Dark Circle Eye Cream,44.0,3.6,"An eye cream that reduces the look of fine lines, dark circles, and puffiness while protecting the eye area from aging pollutants.","[1, 1, 1, 1, 0]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","water, glycerin, cetyl alcohol, pyrus malus (apple) fruit extract, aluminum starch octenylsuccinate, caprylic/capric triglyceride, stearyl alcohol, propanediol, caffeine, sodium hyaluronate, tocopheryl acetate, sodium pca, hydrogenated olive oil, maltodextrin, aspalathus linearis leaf extract, camellia sinensis leaf extract, lycium barbarum fruit extract, punica granatum extract, vitis vinifera (grape) seed extract, leuconostoc/radish root ferment filtrate, pinus cembra wood extract, citrus aurantium dulcis (orange) peel extract, olea europaea (olive) fruit oil, olea europaea (olive) oil unsaponifiables, cera alba (beeswax), avena sativa (oat) bran extract, coleus barbatus root extract, leontopodium alpinum extract, peucedanum ostruthium leaf extract, cetearyl olivate, palmitic acid, stearic acid, sodium phytate, sorbitan olivate, xanthan gum, pentylene glycol, phenethyl alcohol.",3000,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,dark spots
Eye cream,https://www.sephora.com/product/c-collagen-brighten-firm-eye-cream-P418302?icid2=products%20grid:p418302,DR. DENNIS GROSS SKINCARE,Vitamin C+ Collagen Brighten & Firm Eye Cream,65.0,3.4,"An energizing eye cream that’s infused with a proprietary vitamin C complex to dramatically improve the look of tired, aging eyes.","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","water, c12-15 alkyl benzoate, glycerin, pentylene glycol, caprylic/capric triglyceride, niacinamide, aminobutyric acid, glyceryl stearate, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, peg-40 stearate, silica, stearyl alcohol, 3-o-ethyl ascorbic acid, ascorbic acid, collagen amino acids, superoxide dismutase, glycine, hydroxyproline, carnitine, ubiquinone, adenosine, phyllanthus emblica fruit extract, hydrolyzed soy protein, ascorbyl glucoside, ceramide ng, dipeptide-2, palmitoyl tetrapeptide-7, palmitoyl tripeptide-1, palmitoyl hexapeptide-12, hesperidin methyl chalcone, ectoin, chrysin, glycyrrhiza glabra (licorice) root extract, cucumis sativus (cucumber) fruit extract, tocopherol, lactic acid, biotin, sea whip extract, porphyridium cruentum extract, echinacea angustifolia extract, arnica montana flower extract, phytic acid, tetrasodium edta, trisodium edta, citric acid, sodium citrate, n-hydroxysuccinimide, lecithin, tribehenin, butylene glycol, sorbitan isostearate, steareth-20, ceteareth-20, hydroxypropyl methylcellulose, pullulan, acrylates/c10-30 alkyl acrylate crosspolymer, cetearyl alcohol, polysorbate 60, peg-10 phytosterol, leuconostoc/radish root ferment filtrate, phenoxyethanol, chlorhexidine digluconate, potassium sorbate, benzyl alcohol, sodium benzoate, mica, titanium dioxide (ci 77891).",7000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,loss of firmness
Eye cream,https://www.sephora.com/product/eye-duty-triple-remedy-brighten-depuff-smooth-P385329?icid2=products%20grid:p385329,FIRST AID BEAUTY,"Eye Duty Triple Remedy: Brighten, Depuff and Smooth",36.0,3.9,"A three-in-one eye treatment you can wear with or without makeup to illuminate, depuff, and smooth the entire eye area for a more luminous and youthful appearance.","[1, 1, 1, 1, 1]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","water, titanium dioxide, glycerin, cyclopentasiloxane, dimethicone, pentylene glycol, isononyl isononanoate, polyglyceryl-3 polydimethylsiloxyethyl dimethicone, hydroxyethyl acry-late/sodium acryloyldimethyl taurate copolymer, silica, palmitoyl hexapeptide-12, palmitoyl tetrapeptide-7, caffeine, glycyrrhiza glabra (licorice) root extract, chrysanthemum parthenium (feverfew) extract, camellia sinensis leaf extract, diethylhexyl syringylidenemalonate, isopropyl titanium triisostearate, sorbitan isostearate, stearalkonium hectorite, hydrogenated phosphati-dylcholine, corallina officinalis extract, aminobutyric acid, ethylhexyl methoxycrylene, isopropyl myristate, isohexadecane, hydrogenated lecithin, propylene carbonate, polyhydroxystearic acid, sodium lactate, stearic acid, aluminum hydroxide, polyester-8, butylene glycol, sodium polymethacrylate, carbomer, polysorbate 20, polysorbate 60, phenoxyethanol, polysilicone-11, xanthan gum, sodium benzoate, potassium sorbate, ci 77491/77492 (iron oxides).",50000,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,wrinkles
Eye cream,https://www.sephora.com/product/mario-badescu-hyaluronic-eye-cream-P440502?icid2=products%20grid:p440502,MARIO BADESCU,Hyaluronic Eye Cream,18.0,3.2,"A bestselling eye cream, beloved for its universal formula that replenishes moisture and helps minimize the look of dry fine lines.","[1, 1, 1, 1, 0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","water, glycerin, paraffinum liquidum (mineral oil, huile minérale), cetearyl alcohol, olus (vegetable oil, huile végétale), aloe barbadensis leaf extract, carthamus tinctorius (safflower) seed oil, petrolatum, ceteareth-20, tocopherol, hyaluronic acid, euphrasia officinalis extract, tocopheryl acetate, sodium hyaluronate, propylene glycol, glyceryl acrylate/acrylic acid copolymer, pvm/ma copolymer, polyquaternium-24, sodium chloride, diazolidinyl urea, propylparaben, methylparaben, ci 19140 (yellow 5), ci 15985 (yellow 6).",8100,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,wrinkles
Eye cream,https://www.sephora.com/product/radiance-antioxidant-eye-cream-P440320?icid2=products%20grid:p440320,EVE LOM,Radiance Antioxidant Eye Cream,75.0,4.3,"A versatile, potent eye cream that addresses dark circles, puffiness, lack of firmness, and dehydration.","[1, 1, 1, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","water, cetearyl alcohol, myristyl myristate, propanediol, cetyl ricinoleate, camelina sativa seed oil, glycerin, dimethicone, isopropyl isostearate, phytosteryl/octyldodecyl lauroyl glutamate, cetearyl glucoside, xylitylglucoside, phenoxyethanol, anhydroxylitol, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, tocopherol, ectoin, galactoarabinan, inulin lauryl carbamate, panthenol, squalane, lysolecithin, sclerotium gum, panax ginseng root extract, xylitol, pullulan, xanthan gum, disodium edta, ethylhexylglycerin, steareth-20, polysorbate 60, gynostemma pentaphyllum leaf extract, sodium hyaluronate, dunaliella salina extract, sorbitan isostearate, 2-bromo-2-nitropropane-1,3-diol, silica, sodium hydroxide, citric acid, palmitoyl tripeptide-5, sodium benzoate, potassium sorbate, n-hydroxysuccinimide, sodium citrate, pantolactone, chrysin, palmitoyl tripeptide-1, palmitoyl tetrapeptide-7.",1000,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,dark circles
Eye cream,https://www.sephora.com/product/all-natural-retinol-infused-eye-mask-P442738?icid2=products%20grid:p442738,KNC BEAUTY,All Natural Retinol Infused Eye Mask,5.0,3.0,"An eye mask that will give you fresh, hydrated, de-puffed eyes without all the harsh chemicals.","[1, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","hyaluronic acid, gold, collagen, licorice root extract, aloe, vitamin a, rosemary extract.",2100,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,dark circles
Eye cream,https://www.sephora.com/product/eye-fuel-P436376?icid2=products%20grid:p436376,KIEHL'S SINCE 1851,Eye Fuel,24.0,3.4,A men’s eye gel that helps awaken tired-looking eyes.,"[1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",no info,3700,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,dark circles
Eye cream,https://www.sephora.com/product/fresh-lotus-youth-preserve-eye-cream-P454396?icid2=products%20grid:p454396,FRESH,Lotus Youth Preserve Eye Cream,45.0,4.5,"A lightweight eye cream powered by a new multi-action super lotus helps depuff and smooth the delicate eye area for a radiant, resilient, and youthful look.","[1, 1, 1, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","fresh product ingredient listings are updated periodically. before using a fresh product, please read the ingredient list on the packaging of your product to be sure that the ingredients are appropriate for your personal use.",2700,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,puffiness
