Label,URL,brand,name,price,rating,description,skin_type,skincare_concerns,ingredients,likes,normal,oily,combination,dry,sensitive,dryness,wrinkles,oiliness,dullness,dark_spots,pores,redness,acne,uneven_skin_tone,sallowness,class_specified,image_url
Moisturizer,https://www.sephora.com/product/protini-tm-polypeptide-cream-P427421?icid2=products%20grid:p427421,DRUNK ELEPHANT,Protini™ Polypeptide Moisturizer,68,4,"A protein moisturizer that combines signal peptides, growth factors, amino acids, and pygmy waterlily to improve the look of skin’s tone, texture, and firmness.","[1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]","water/aqua/eau, dicaprylyl carbonate, glycerin, cetearyl alcohol, cetearyl olivate, sorbitan olivate, sclerocarya birrea seed oil, bacillus/soybean/ folic acid ferment extract, nymphaea alba root extract, sh-oligopeptide-1, sh-oligopeptide-2, sh-polypeptide-1, sh-polypeptide-9, sh-polypeptide-11, copper palmitoyl heptapeptide-14, heptapeptide-15 palmitate, palmitoyl tetrapeptide-7, palmitoyl tripeptide-1, alanine, arginine, glycine, histidine, isoleucine, phenylalanine, proline, serine, threonine, valine, acetyl glutamine, coconut alkanes, coco-caprylate/caprate, sodium hyaluronate, aspartic acid, linoleic acid, linolenic acid, lecithin, butylene glycol, polyvinyl alcohol, sodium lactate, sodium pca, pca, sorbitan isostearate, carbomer, polysorbate 20, polysorbate 60, lactic acid/glycolic acid copolymer, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, xanthan gum, isomalt, 1,2-hexanediol, caprylyl glycol, chlorphenesin, phenoxyethanol, tocopherol, sodium benzoate, phenylpropanol, glyceryl caprylate, symphytum officinale callus culture extract.",218900,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,loss of firmness,https://www.sephora.com/productimages/sku/s2025633-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/the-dewy-skin-cream-P441101?icid2=products%20grid:p441101,TATCHA,The Dewy Skin Cream,68,4.2000000000000002,"A rich cream that feeds skin with plumping hydration and antioxidant-packed Japanese purple rice for a dewy, healthy glow.","[1, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]","aqua/water/eau, saccharomyces/camellia sinensis leaf/cladosiphon okamuranus/rice ferment filtrate*, glycerin, propanediol, dimethicone, squalane, diisostearyl malate, behenyl alcohol, myristyl myristate, dipentaerythrityl hexahydroxystearate, bis-diglyceryl polyacyladipate-2, tridecyl trimellitate, chondrus crispus extract, betaphycus gelatinum extract, eisenia arborea extract, oryza sativa (rice) bran extract, panax ginseng root extract, origanum majorana leaf extract, thymus serpyllum extract, malva sylvestris (mallow) flower extract, sodium hyaluronate, inositol, gold, sericin, phytosteryl macadamiate, butylene glycol, beheneth-20, sorbitan tristearate, disodium edta, dimethicone/vinyl dimethicone crosspolymer, sodium acrylate/acryloyldimethyltaurate/dimethylacrylamide crosspolymer, caprylyl/capryl glucoside, sorbitan isostearate, ethylhexylglycerin, parfum/fragrance, alcohol, phenoxyethanol, mica (ci 77019), titanium dioxide (ci 77891), tin oxide (ci 77861), violet 2 (ci 60725). *hadasei-3.",87000,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,dryness,https://www.sephora.com/productimages/sku/s2181006-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/drunk-elephant-lala-retro-whipped-moisturizer-with-ceramides-P446938?icid2=products%20grid:p446938,DRUNK ELEPHANT,Lala Retro™ Whipped Moisturizer with Ceramides,60,4.2000000000000002,A rescue cream infused with six rare African oils and a ceramide complex for intense moisture and replenishing barrier support.,"[1, 1, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","water/aqua/eau, glycerin, caprylic/ capric triglyceride, isopropyl isostearate, pseudozyma epicola/camellia sinensis seed oil/glucose/glycine soja (soybean) meal/malt extract/yeast extract ferment filtrate, glyceryl stearate se, cetearyl alcohol, palmitic acid, stearic acid, pentylene glycol, plantago lanceolata leaf extract, adansonia digitata seed oil, citrullus lanatus (watermelon) seed oil, passiflora edulis seed oil, schinziophyton rautanenii kernel oil, sclerocarya birrea seed oil, polyglyceryl-6 ximenia americana seedate, cholesterol, ceramide ap, ceramide eop,sodium hyaluronate crosspolymer, ceramide np, phytosphingosine, ceteareth-20, trisodium ethylenediamine disuccinate, tocopherol, sodium lauroyl lactylate, sodium hydroxide, citric acid, carbomer, xanthan gum, caprylyl glycol, chlorphenesin, phenoxyethanol, ethylhexylglycerin.",41700,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,dryness,https://www.sephora.com/productimages/sku/s2233849-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/the-moisturizing-soft-cream-P416342?skuId=1932227&icid2=products%20grid:p416342,LA MER,The Moisturizing Soft Cream,90,3.8999999999999999,"An ultra-soft face moisturizer that nurtures for beautiful, glowing radiance, leaving skin looking naturally brightened, hydrated, and restored.","[1, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 1, 0, 0, 0, 0]","algae (seaweed) extract, cyclopentasiloxane, petrolatum, glyceryl distearate, phenyl trimethicone, butylene glycol, hydrogenated vegetable oil, cholesterol, butyrospermum parkii (shea butter), steareth-10, dimethicone, glyceryl stearate se, polysilicone-11, sesamum indicum (sesame) seed oil, medicago sativa (alfalfa) seed powder, helianthus annuus (sunflower) seedcake, prunus amygdalus dulcis (sweet almond) seed meal, eucalyptus globulus (eucalyptus) leaf oil, sodium gluconate, copper gluconate, calcium gluconate, magnesium gluconate, zinc gluconate, tocopheryl succinate, niacin, sesamum indicum (sesame) seed powder, water\aqua\eau, citrus aurantifolia (lime) peel extract, laminaria digitata extract, crithmum maritimum extract, salicornia herbacea extract, plankton extract, chlorella vulgaris extract, glycine soja (soybean) seed extract, glycerin, caffeine, sea salt\maris sal\sel marin, micrococcus lysate, diethylhexyl succinate, adenosine phosphate, creatine, hydrolyzed algin, isocetyl stearoyl stearate, cetyl alcohol, sucrose, acetyl hexapeptide-8, glucose oxidase, polyacrylamide, acetyl carnitine hcl, glucose, caprylic/capric triglyceride, c13-14 isoparaffin, tocopheryl acetate, tetrahexyldecyl ascorbate, sodium pca, glycosaminoglycans, urea, distearyldimonium chloride, dipalmitoyl hydroxyproline, sodium hyaluronate, laureth-7, lecithin, trehalose, polyquaternium-51, lactoperoxidase, hydroxypropyl cyclodextrin, cyanocobalamin, pentylene glycol, fragrance (parfum), disodium edta, bht, citronellol, hydroxycitronellal, geraniol, linalool, limonene, potassium sorbate, phenoxyethanol.",27300,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,dryness,https://www.sephora.com/productimages/sku/s1932227-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/lotus-youth-preserve-dream-face-cream-P440312?icid2=products%20grid:p440312,FRESH,Lotus Youth Preserve Dream Night Cream,48,4.5999999999999996,A lightweight night cream powered by the highly potent antioxidant super lotus that supports the skin’s natural barrier and minimize the look of fine lines.,"[1, 1, 1, 1, 0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","water, glycerin, isononyl isononanoate, glyceryl stearate, caprylic/capric triglyceride, butylene glycol, pentylene glycol, c10-18 triglycerides, diglycerin, butyrospermum parkii (shea butter), peg-100 stearate, myristyl myristate, nelumbo nucifera extract, prunus persica (peach) leaf extract, citrus limon (lemon) peel oil, cucumis sativus (cucumber) fruit extract, nelumbo nucifera flower extract, anthemis nobilis flower oil, tocopheryl acetate, tocopherol, behenyl alcohol, ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer, cetearyl alcohol, cetyl palmitate, cocoglycerides, acrylates/c10-30 alkyl acrylate crosspolymer, fragrance, sodium hydroxide, t-butyl alcohol, sodium metabisulfite, bht, tetrasodium edta, ethylhexylglycerin, potassium sorbate, sodium benzoate, phenoxyethanol, limonene, benzyl salicylate, citral.",43500,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,wrinkles,https://www.sephora.com/productimages/sku/s2175560-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/superberry-hydrate-glow-dream-mask-P440307?icid2=products%20grid:p440307,YOUTH TO THE PEOPLE,Superberry Hydrate + Glow Dream Mask,48,4.5999999999999996,"An overnight mask that deeply hydrates, plumps, and brightens with powerful, antioxidant-rich super berries and THD ascorbate (vitamin C).","[0, 0, 0, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]","water, glycerin, helianthus annuus (sunflower) seed oil, glyceryl stearate, cetyl alcohol, betaine, isopropyl myristate, stearic acid, opuntia tuna (prickly pear) extract, euterpe oleracea (acai) fruit extract, lycium barbarum (goji) extract, aristotelia chilensis (maqui) fruit extract, moringa oleifera leaf extract, tetrahexyldecyl ascorbate (vitamin c), phenoxyethanol, glyceryl stearyl citrate,tocopheryl acetate (vitamin e), glyceryl laurate, squalane olive, carbomer, hyaluronic acid, allantoin, panthenol (vitamin b5), ethylhexylglycerin, xanthan gum, natural fragrance, riboflavin (vitamin b2).",75200,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,dryness,https://www.sephora.com/productimages/sku/s2180941-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/fresh-lotus-youth-preserve-moisturizer-P454378?skuId=2316818&icid2=products%20grid:p454378,FRESH,Lotus Youth Preserve Moisturizer,48,4.5999999999999996,"A daily lightweight moisturizer powered by new multiaction Super Lotus to target first signs of aging for radiant, resilient, youthful-looking skin.","[1, 1, 1, 1, 0]","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0]","aqua (water), glycerin, propylene glycol dicaprylate/dicaprate, pentylene glycol, cetearyl alcohol, caprylic/capric triglyceride, cetearyl isononanoate, betaine, steareth-21, nelumbo nucifera extract, citrus limon (lemon) peel oil, cucumis sativus (cucumber) fruit extract, averrhoa carambola leaf extract, tocopherol, silica, behenyl alcohol, cetearyl glucoside, sorbitol, dimethicone, sodium pca, carbomer, caprylyl glycol, butylene glycol, tromethamine, cetyl alcohol, stearyl alcohol, sodium hyaluronate, xanthan gum, lauroyl lysine, adenosine, glucose, tetrasodium edta, sodium metabisulfite, potassium sorbate, sodium benzoate, phenoxyethanol, limonene, citral.",5300,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,dullness,https://www.sephora.com/productimages/sku/s2316818-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/charlotte-s-magic-cream-P433520?icid2=products%20grid:p433520&skuId=2117109,CHARLOTTE TILBURY,Magic Cream Moisturizer,100,4.2999999999999998,"A visibly plumping, hydrating moisturizer enriched with hyaluronic acid to create a glowing complexion and prep skin for flawless makeup application.","[1, 0, 0, 1, 0]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]","water, homosalate , glyceryl stearate se, ethylhexyl salicylate, butylene glycol, glycerin, butyl methoxydibenzoylmethane, octocrylene, cetyl alcohol, c12-15 alkyl benzoate, cyclopentasiloxane, dimethicone, phenoxyethanol, butyrospermum parkii (shea) butter, steareth-21, avena sativa (oat) kernel extract, carbomer, dimethiconol, potassium cetyl phosphate, chlorphenesin, caprylyl glycol, xanthan gum, hydrolyzed viola tricolor extract, allantoin, aloe barbadensis leaf juice, disodium edta, tocopheryl acetate, camellia oleifera seed oil, rosa canina fruit oil, rosa damascena flower water, sodium hydroxide, helianthus annuus (sunflower) seed oil, michelia alba leaf oil, sodium lactate, coco-glucoside, peg-8, ethylhexylglycerin, sodium hyaluronate, tocopherol, palmitoyl oligopeptide, palmitoyl tetrapeptide-7, ascorbyl palmitate, plumeria rubra flower extract, ascorbic acid, citric acid, nicotiana sylvestris leaf cell culture, linalool, citronellol, geraniol.",26600,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,pores,https://www.sephora.com/productimages/sku/s2117109-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/ultra-repair-cream-intense-hydration-P248407?skuId=2265023&icid2=products%20grid:p248407,FIRST AID BEAUTY,Ultra Repair® Cream Intense Hydration,34,4.5999999999999996,"A fast-absorbing, rich moisturizer that provides instant and long-term hydration for dry, distressed skin and eczema.","[1, 0, 1, 1, 0]","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0]","colloidal oatmeal, water, stearic acid, glycerin, c12-15 alkyl benzoate, caprylic/capric triglyceride, glyceryl stearate, glyceryl stearate se, cetearyl alcohol, dimethicone, butyrospermum parkii (shea) butter, squalane, phenoxyethanol, caprylyl glycol, allantoin, xanthan gum, sodium hydroxide, disodium edta, chrysanthemum parthenium (feverfew) extract, camellia sinensis (white tea) leaf extract, glycyrrhiza glabra (licorice) root extract, ceramide-3, eucalyptus globulus leaf extract.",159100,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,dryness,https://www.sephora.com/productimages/sku/s2339489-main-zoom.jpg
Moisturizer,https://www.sephora.com/product/moisture-surge-72-hour-auto-replenishing-hydrator-P425416?icid2=products%20grid:p425416,CLINIQUE,Moisture Surge 72-Hour Auto-Replenishing Hydrator,39,4.2999999999999998,A refreshing gel-cream that provides an instant moisture boost—and is now enhanced to deliver almost twice as much hydration at the end of the day than it did before.,"[1, 1, 1, 1, 1]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","water , dimethicone , butylene glycol , glycerin , trisiloxane , trehalose , sucrose , ammonium acryloyldimethyltaurate/vp copolymer , hydroxyethyl urea , camellia sinensis (green tea) leaf extract , silybum marianum (lady's thistle) extract , betula alba (birch) bark extract , saccharomyces lysate extract , aloe barbadensis leaf water , thermus thermophillus ferment , caffeine , sorbitol , palmitoyl hexapeptide-12 , sodium hyaluronate , caprylyl glycol , oleth-10 , sodium polyaspartate , saccharide isomerate , hydrogenated lecithin , tocopheryl acetate , acrylates/c10-30 alkyl acrylate crosspolymer , glyceryl polymethacrylate , tromethamine , peg-8 , hexylene glycol , magnesium ascorbyl phosphate , disodium edta , bht , phenoxyethanol , red 4 (ci 14700) , yellow 5 (ci 19140)",68600,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,dryness,https://www.sephora.com/productimages/sku/s2019461-main-zoom.jpg
